Data e Hora,Tipo de Processamento,Tempo de Processamento,Nome do Arquivo,Tamanho do Arquivo,Resultado do Processamento,Mensagem de Erro
2024-03-14 18:19:54,Leitura de Arquivo WAV,290.057,004ae714_nohash_0.wav,21.8125,Sucesso,
2024-03-14 18:19:54,Convolução de Áudio,30.918,004ae714_nohash_0.wav,21.8125,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,21.94,0132a06d_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Convolução de Áudio,0.998,0132a06d_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,15.003,0137b3f4_nohash_0.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Mistura de Áudio,,0137b3f4_nohash_0.wav,31.29296875,Erro,"operands could not be broadcast together with shapes (22050,) (15361,) "
2024-03-14 18:19:54,Leitura de Arquivo WAV,3.9899999999999998,0137b3f4_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Filtragem de Áudio,10.543999999999999,0137b3f4_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,11.015,0137b3f4_nohash_3.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Concatenação de Áudio,7.978000000000001,0137b3f4_nohash_3.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,12.481000000000002,0137b3f4_nohash_4.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Concatenação de Áudio,0.0,0137b3f4_nohash_4.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,13.073,016e2c6d_nohash_0.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Convolução de Áudio,0.9959999999999999,016e2c6d_nohash_0.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,6.98,016e2c6d_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Inversão de Áudio,0.0,016e2c6d_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,3.9899999999999998,01bb6a2a_nohash_3.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Concatenação de Áudio,0.0,01bb6a2a_nohash_3.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,2.985,01bb6a2a_nohash_4.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Concatenação de Áudio,0.0,01bb6a2a_nohash_4.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,8.978,022cd682_nohash_0.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Filtragem de Áudio,0.0,022cd682_nohash_0.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,4.983,023a61ad_nohash_1.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Inversão de Áudio,0.0,023a61ad_nohash_1.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,5.984999999999999,023a61ad_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Convolução de Áudio,0.0,023a61ad_nohash_2.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Leitura de Arquivo WAV,4.942,026290a7_nohash_0.wav,31.29296875,Sucesso,
2024-03-14 18:19:54,Recorte de Áudio,10.107,026290a7_nohash_0.wav,31.29296875,Sucesso,
